class,precision,recall,f1,num_samples
Accessory tools,0.9684,0.9684,0.9684,190
Angiectasia,1.0000,0.5000,0.6667,2
Barrett's esophagus,0.7500,0.6000,0.6667,15
Blood in lumen,0.8333,0.7692,0.8000,26
Cecum,0.2381,0.2941,0.2632,17
Colon diverticula,1.0000,0.2500,0.4000,4
Colon polyps,0.8400,0.8537,0.8468,123
Colorectal cancer,0.8125,0.6190,0.7027,21
Duodenal bulb,0.5556,0.8065,0.6579,31
Dyed-lifted-polyps,1.0000,0.8571,0.9231,21
Dyed-resection-margins,0.9000,0.9730,0.9351,37
Erythema,0.0000,0.0000,0.0000,2
Esophageal varices,0.0000,0.0000,0.0000,1
Esophagitis,0.5000,0.0625,0.1111,16
Gastric polyps,0.6154,0.8000,0.6957,10
Gastroesophageal_junction_normal z-line,0.6765,0.9200,0.7797,50
Ileocecal valve,0.4898,0.8000,0.6076,30
Mucosal inflammation large bowel,0.5000,0.2500,0.3333,4
Normal esophagus,0.7917,0.9048,0.8444,21
Normal mucosa and vascular pattern in the large bowel,0.8333,0.7727,0.8019,220
Normal stomach,0.9078,0.8767,0.8920,146
Pylorus,0.8571,0.9153,0.8852,59
Resected polyps,0.6667,0.2857,0.4000,14
Resection margins,0.5000,0.6667,0.5714,3
Retroflex rectum,0.7143,0.5000,0.5882,10
Small bowel_terminal ileum,0.8387,0.8189,0.8287,127
Ulcer,0.0000,0.0000,0.0000,1
