class,precision,recall,f1,num_samples
barretts,0.5000,0.1667,0.2500,6
barretts-short-segment,0.1818,0.2500,0.2105,8
bbps-0-1,1.0000,0.9794,0.9896,97
bbps-2-3,1.0000,0.9709,0.9853,172
cecum,0.9862,0.9408,0.9630,152
dyed-lifted-polyps,0.9416,0.9603,0.9508,151
dyed-resection-margins,0.9589,0.9396,0.9492,149
esophagitis-a,0.5488,0.7377,0.6294,61
esophagitis-b-d,0.7179,0.7179,0.7179,39
hemorrhoids,0.0000,0.0000,0.0000,1
ileum,0.0000,0.0000,0.0000,1
impacted-stool,0.7917,1.0000,0.8837,19
polyps,1.0000,0.9286,0.9630,154
pylorus,0.9934,1.0000,0.9967,150
retroflex-rectum,0.8261,0.9828,0.8976,58
retroflex-stomach,1.0000,0.9565,0.9778,115
ulcerative-colitis-grade-0-1,0.0000,0.0000,0.0000,5
ulcerative-colitis-grade-1,0.3902,0.5333,0.4507,30
ulcerative-colitis-grade-1-2,0.0000,0.0000,0.0000,1
ulcerative-colitis-grade-2,0.6220,0.7612,0.6846,67
ulcerative-colitis-grade-2-3,0.0000,0.0000,0.0000,4
ulcerative-colitis-grade-3,0.8333,0.5000,0.6250,20
z-line,0.9350,0.8214,0.8745,140
